Run,Algorithm,Colors Used,Execution Time (s),Memory Usage (MiB)
38,DSATUR Coloring,23,0.0023419857025146484,0.0
39,DSATUR Coloring,23,0.0021986961364746094,0.0
40,DSATUR Coloring,23,0.0023348331451416016,0.0
41,DSATUR Coloring,23,0.002198934555053711,0.0
42,DSATUR Coloring,23,0.002422332763671875,0.0
43,DSATUR Coloring,23,0.0021381378173828125,0.0
44,DSATUR Coloring,23,0.00240325927734375,0.0
45,DSATUR Coloring,23,0.0024881362915039062,0.0
46,DSATUR Coloring,23,0.0023326873779296875,0.0
47,DSATUR Coloring,23,0.0022013187408447266,0.0
48,DSATUR Coloring,23,0.002508878707885742,0.0
49,DSATUR Coloring,23,0.0022649765014648438,0.0
50,DSATUR Coloring,23,0.0024034976959228516,0.0
End,DSATUR Coloring,---,---,---
1,Genetic Algorithm,24,0.09110641479492188,0.2109375
2,Genetic Algorithm,24,0.09093356132507324,0.0
3,Genetic Algorithm,24,0.09474062919616699,0.0
4,Genetic Algorithm,23,0.09176921844482422,0.0
5,Genetic Algorithm,23,0.09125280380249023,0.0
6,Genetic Algorithm,24,0.0912175178527832,0.0
7,Genetic Algorithm,24,0.09179997444152832,0.0
8,Genetic Algorithm,23,0.09072613716125488,0.0
9,Genetic Algorithm,24,0.09090757369995117,0.0
10,Genetic Algorithm,24,0.09117364883422852,0.0
11,Genetic Algorithm,24,0.09099221229553223,0.0
12,Genetic Algorithm,24,0.09095644950866699,0.0
13,Genetic Algorithm,24,0.09069442749023438,0.0
14,Genetic Algorithm,24,0.09135937690734863,0.0
15,Genetic Algorithm,24,0.09198212623596191,0.0
16,Genetic Algorithm,24,0.0911715030670166,0.0
17,Genetic Algorithm,24,0.09125900268554688,0.0
18,Genetic Algorithm,23,0.09120488166809082,0.0
19,Genetic Algorithm,24,0.09103965759277344,0.0
20,Genetic Algorithm,24,0.09101414680480957,0.0
21,Genetic Algorithm,23,0.09201264381408691,0.0
22,Genetic Algorithm,23,0.09121394157409668,0.0
23,Genetic Algorithm,23,0.09097528457641602,0.0
24,Genetic Algorithm,24,0.09114909172058105,0.0
25,Genetic Algorithm,23,0.09092974662780762,0.0
26,Genetic Algorithm,24,0.09107518196105957,0.0
27,Genetic Algorithm,24,0.09074926376342773,0.0
28,Genetic Algorithm,25,0.09107732772827148,0.0
29,Genetic Algorithm,23,0.09038376808166504,0.0
30,Genetic Algorithm,22,0.09131407737731934,0.0
31,Genetic Algorithm,24,0.09191679954528809,0.0
32,Genetic Algorithm,23,0.09121012687683105,0.0
33,Genetic Algorithm,24,0.0909733772277832,0.0
34,Genetic Algorithm,24,0.09645557403564453,0.0
35,Genetic Algorithm,24,0.09156394004821777,0.0
36,Genetic Algorithm,24,0.0912942886352539,0.0
37,Genetic Algorithm,24,0.09111237525939941,0.0
38,Genetic Algorithm,24,0.09215664863586426,0.0
39,Genetic Algorithm,23,0.09100580215454102,0.0
40,Genetic Algorithm,23,0.09095025062561035,0.0
41,Genetic Algorithm,22,0.09152674674987793,0.0
42,Genetic Algorithm,24,0.09131503105163574,0.0
43,Genetic Algorithm,24,0.09100961685180664,0.0
44,Genetic Algorithm,23,0.0909125804901123,0.0
45,Genetic Algorithm,23,0.0914921760559082,0.0
46,Genetic Algorithm,23,0.09063506126403809,0.0
47,Genetic Algorithm,24,0.09079313278198242,0.0
48,Genetic Algorithm,24,0.09125185012817383,0.0
49,Genetic Algorithm,24,0.09091591835021973,0.0
50,Genetic Algorithm,23,0.0912628173828125,0.0
End,Genetic Algorithm,---,---,---
1,POP2 Algorithm,22,0.18566465377807617,0.1875
2,POP2 Algorithm,22,0.18202781677246094,0.0
3,POP2 Algorithm,22,0.18509292602539062,0.0
4,POP2 Algorithm,22,0.19659113883972168,0.0
5,POP2 Algorithm,22,0.18503499031066895,0.0
6,POP2 Algorithm,22,0.17942547798156738,0.0
7,POP2 Algorithm,22,0.1811506748199463,0.0
8,POP2 Algorithm,22,0.18436574935913086,0.0
9,POP2 Algorithm,22,0.18717122077941895,0.0
10,POP2 Algorithm,22,0.1815929412841797,0.0
11,POP2 Algorithm,22,0.18393397331237793,0.0
12,POP2 Algorithm,22,0.18718910217285156,0.0
13,POP2 Algorithm,22,0.18583965301513672,0.0
14,POP2 Algorithm,22,0.18746328353881836,0.0
15,POP2 Algorithm,22,0.18131637573242188,0.0
16,POP2 Algorithm,22,0.18201780319213867,0.0
17,POP2 Algorithm,22,0.18775367736816406,0.0
18,POP2 Algorithm,22,0.18392038345336914,0.0
19,POP2 Algorithm,22,0.1849353313446045,0.0
20,POP2 Algorithm,22,0.18545269966125488,0.0
21,POP2 Algorithm,22,0.18371915817260742,0.0
22,POP2 Algorithm,22,0.18745136260986328,0.0
23,POP2 Algorithm,22,0.18529558181762695,0.0
24,POP2 Algorithm,22,0.18155384063720703,0.0
25,POP2 Algorithm,22,0.1861567497253418,0.0
26,POP2 Algorithm,22,0.18818354606628418,0.0
27,POP2 Algorithm,22,0.18696331977844238,0.0
28,POP2 Algorithm,22,0.18550825119018555,0.0
29,POP2 Algorithm,22,0.18584084510803223,0.0
